id,category_id,slug,title,description,ordinal
1,2,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
2,2,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
3,3,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
4,3,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
5,4,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
6,4,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
7,4,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",3
8,4,secondary,Secondary,"Form 1 to Form 4",4
9,4,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",5
10,4,college,College,"Year 1 to Year 3",6
11,5,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
12,5,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
13,5,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",3
14,5,secondary,Secondary,"Form 1 to Form 4",4
15,5,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",5
16,6,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",1
17,7,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",1
18,8,secondary,Secondary,"Form 1 to Form 4",1
19,9,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",1
20,10,secondary,Secondary,"Form 1 to Form 4",1
21,11,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
22,11,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
23,11,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",3
24,11,secondary,Secondary,"Form 1 to Form 4",4
25,11,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",5
26,12,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
27,12,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
28,12,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",3
29,12,secondary,Secondary,"Form 1 to Form 4",4
30,12,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",5
31,13,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
32,13,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
33,13,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",3
34,13,secondary,Secondary,"Form 1 to Form 4",4
35,13,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",5
36,14,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
37,14,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
38,14,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",3
39,14,secondary,Secondary,"Form 1 to Form 4",4
40,14,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",5
41,15,college,College,"Year 1 to Year 3",1
42,1,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
43,1,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
44,1,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",3
45,1,secondary,Secondary,"Form 1 to Form 4",4
46,1,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",5
47,16,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
48,16,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
49,16,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",3
50,16,secondary,Secondary,"Form 1 to Form 4",4
51,16,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",5
52,17,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
53,17,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
54,17,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",3
55,17,secondary,Secondary,"Form 1 to Form 4",4
56,17,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",5
57,18,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
58,18,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
59,18,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",3
60,18,secondary,Secondary,"Form 1 to Form 4",4
61,18,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",5
62,19,lower-primary,Lower Primary,"Pre-Primary to Grade 3",1
63,19,upper-primary,Upper Primary,"Grade 4 to Grade 6",2
64,19,junior-secondary,Junior Secondary,"Grade 7 to Grade 9",3
65,19,secondary,Secondary,"Form 1 to Form 4",4
66,19,senior-secondary,Senior Secondary,"Grade 10 to Grade 12",5
67,19,college,College,"Year 1 to Year 3",6
