id,level_id,slug,title,description,ordinal
1,1,pp1,PP1,"Pre-Primary 1",1
2,1,pp2,PP2,"Pre-Primary 2",2
3,1,grade-1,Grade 1,"Grade 1",3
4,1,grade-2,Grade 2,"Grade 2",4
5,1,grade-3,Grade 3,"Grade 3",5
6,2,grade-4,Grade 4,"Grade 4",1
7,2,grade-5,Grade 5,"Grade 5",2
8,2,grade-6,Grade 6,"Grade 6",3
9,3,pp1,PP1,"Pre-Primary 1",1
10,3,pp2,PP2,"Pre-Primary 2",2
11,3,grade-1,Grade 1,"Grade 1",3
12,3,grade-2,Grade 2,"Grade 2",4
13,3,grade-3,Grade 3,"Grade 3",5
14,4,grade-4,Grade 4,"Grade 4",1
15,4,grade-5,Grade 5,"Grade 5",2
16,4,grade-6,Grade 6,"Grade 6",3
17,5,pp1,PP1,"Pre-Primary 1",1
18,5,pp2,PP2,"Pre-Primary 2",2
19,5,grade-1,Grade 1,"Grade 1",3
20,5,grade-2,Grade 2,"Grade 2",4
21,5,grade-3,Grade 3,"Grade 3",5
22,6,grade-4,Grade 4,"Grade 4",1
23,6,grade-5,Grade 5,"Grade 5",2
24,6,grade-6,Grade 6,"Grade 6",3
25,7,grade-7,Grade 7,"Grade 7",1
26,7,grade-8,Grade 8,"Grade 8",2
27,7,grade-9,Grade 9,"Grade 9",3
28,8,form-1,Form 1,"Form 1",1
29,8,form-2,Form 2,"Form 2",2
30,8,form-3,Form 3,"Form 3",3
31,8,form-4,Form 4,"Form 4",4
32,9,grade-10,Grade 10,"Grade 10",1
33,9,grade-11,Grade 11,"Grade 11",2
34,9,grade-12,Grade 12,"Grade 12",3
35,10,year-1,Year 1,"Year 1",1
36,10,year-2,Year 2,"Year 2",2
37,10,year-3,Year 3,"Year 3",3
38,11,pp1,PP1,"Pre-Primary 1",1
39,11,pp2,PP2,"Pre-Primary 2",2
40,11,grade-1,Grade 1,"Grade 1",3
41,11,grade-2,Grade 2,"Grade 2",4
42,11,grade-3,Grade 3,"Grade 3",5
43,12,grade-4,Grade 4,"Grade 4",1
44,12,grade-5,Grade 5,"Grade 5",2
45,12,grade-6,Grade 6,"Grade 6",3
46,13,grade-7,Grade 7,"Grade 7",1
47,13,grade-8,Grade 8,"Grade 8",2
48,13,grade-9,Grade 9,"Grade 9",3
49,14,form-1,Form 1,"Form 1",1
50,14,form-2,Form 2,"Form 2",2
51,14,form-3,Form 3,"Form 3",3
52,14,form-4,Form 4,"Form 4",4
53,15,grade-10,Grade 10,"Grade 10",1
54,15,grade-11,Grade 11,"Grade 11",2
55,15,grade-12,Grade 12,"Grade 12",3
56,16,grade-7,Grade 7,"Grade 7",1
57,16,grade-8,Grade 8,"Grade 8",2
58,16,grade-9,Grade 9,"Grade 9",3
59,17,grade-7,Grade 7,"Grade 7",1
60,17,grade-8,Grade 8,"Grade 8",2
61,17,grade-9,Grade 9,"Grade 9",3
62,18,form-1,Form 1,"Form 1",1
63,18,form-2,Form 2,"Form 2",2
64,18,form-3,Form 3,"Form 3",3
65,18,form-4,Form 4,"Form 4",4
66,19,grade-10,Grade 10,"Grade 10",1
67,19,grade-11,Grade 11,"Grade 11",2
68,19,grade-12,Grade 12,"Grade 12",3
69,20,form-1,Form 1,"Form 1",1
70,20,form-2,Form 2,"Form 2",2
71,20,form-3,Form 3,"Form 3",3
72,20,form-4,Form 4,"Form 4",4
73,21,pp1,PP1,"Pre-Primary 1",1
74,21,pp2,PP2,"Pre-Primary 2",2
75,21,grade-1,Grade 1,"Grade 1",3
76,21,grade-2,Grade 2,"Grade 2",4
77,21,grade-3,Grade 3,"Grade 3",5
78,22,grade-4,Grade 4,"Grade 4",1
79,22,grade-5,Grade 5,"Grade 5",2
80,22,grade-6,Grade 6,"Grade 6",3
81,23,grade-7,Grade 7,"Grade 7",1
82,23,grade-8,Grade 8,"Grade 8",2
83,23,grade-9,Grade 9,"Grade 9",3
84,24,form-1,Form 1,"Form 1",1
85,24,form-2,Form 2,"Form 2",2
86,24,form-3,Form 3,"Form 3",3
87,24,form-4,Form 4,"Form 4",4
88,25,grade-10,Grade 10,"Grade 10",1
89,25,grade-11,Grade 11,"Grade 11",2
90,25,grade-12,Grade 12,"Grade 12",3
91,26,pp1,PP1,"Pre-Primary 1",1
92,26,pp2,PP2,"Pre-Primary 2",2
93,26,grade-1,Grade 1,"Grade 1",3
94,26,grade-2,Grade 2,"Grade 2",4
95,26,grade-3,Grade 3,"Grade 3",5
96,27,grade-4,Grade 4,"Grade 4",1
97,27,grade-5,Grade 5,"Grade 5",2
98,27,grade-6,Grade 6,"Grade 6",3
99,28,grade-7,Grade 7,"Grade 7",1
100,28,grade-8,Grade 8,"Grade 8",2
101,28,grade-9,Grade 9,"Grade 9",3
102,29,form-1,Form 1,"Form 1",1
103,29,form-2,Form 2,"Form 2",2
104,29,form-3,Form 3,"Form 3",3
105,29,form-4,Form 4,"Form 4",4
106,30,grade-10,Grade 10,"Grade 10",1
107,30,grade-11,Grade 11,"Grade 11",2
108,30,grade-12,Grade 12,"Grade 12",3
109,31,pp1,PP1,"Pre-Primary 1",1
110,31,pp2,PP2,"Pre-Primary 2",2
111,31,grade-1,Grade 1,"Grade 1",3
112,31,grade-2,Grade 2,"Grade 2",4
113,31,grade-3,Grade 3,"Grade 3",5
114,32,grade-4,Grade 4,"Grade 4",1
115,32,grade-5,Grade 5,"Grade 5",2
116,32,grade-6,Grade 6,"Grade 6",3
117,33,grade-7,Grade 7,"Grade 7",1
118,33,grade-8,Grade 8,"Grade 8",2
119,33,grade-9,Grade 9,"Grade 9",3
120,34,form-1,Form 1,"Form 1",1
121,34,form-2,Form 2,"Form 2",2
122,34,form-3,Form 3,"Form 3",3
123,34,form-4,Form 4,"Form 4",4
124,35,grade-10,Grade 10,"Grade 10",1
125,35,grade-11,Grade 11,"Grade 11",2
126,35,grade-12,Grade 12,"Grade 12",3
127,36,pp1,PP1,"Pre-Primary 1",1
